PA,POP
YISHUN,85560
WOODLANDS,72060
"WESTERN WATER CATCHMENT",0
"WESTERN ISLANDS",0
TUAS,0
"TOA PAYOH",90290
TENGAH,0
TANGLIN,121730
TAMPINES,179790
"SUNGEI KADUT",4670
"STRAITS VIEW",0
"SOUTHERN ISLANDS",8180
"SINGAPORE RIVER",16050
SIMPANG,0
SERANGOON,336390
SENGKANG,78980
SEMBAWANG,37720
SELETAR,1890
ROCHOR,14310
"RIVER VALLEY",60640
QUEENSTOWN,102100
PUNGGOL,16280
PIONEER,0
"PAYA LEBAR",0
"PASIR RIS",194940
OUTRAM,12600
ORCHARD,5210
NOVENA,165340
"NORTH-EASTERN ISLANDS",0
NEWTON,44470
MUSEUM,2250
"MARINE PARADE",178350
"MARINA SOUTH",0
"MARINA EAST",0
MANDAI,13900
"LIM CHU KANG",0
KALLANG,122490
"JURONG WEST",112470
"JURONG EAST",49670
HOUGANG,281980
GEYLANG,166000
"DOWNTOWN CORE",6100
CLEMENTI,132850
"CHOA CHU KANG",120130
"CHANGI BAY",0
CHANGI,3140
"CENTRAL WATER CATCHMENT",0
"BUKIT TIMAH",447660
"BUKIT PANJANG",117650
"BUKIT MERAH",57460
"BUKIT BATOK",208870
"BOON LAY",0
BISHAN,168990
BEDOK,639600
"ANG MO KIO",194070
